"SPECIES","YEAR","SPI","SPI_SOUTH","SPI_NORTH","SELECTED_PROTECTED_AREA_TYPE","UNION"
"Sciurus carolinensis",2020,0.0661577441162231,0.0661577441159895,NA,NA,TRUE
"Sciurus carolinensis",2021,0.066548843818099,0.0665488438175301,NA,NA,TRUE
"Sciurus carolinensis",2022,0.0681602862005033,0.0681602862002449,NA,NA,TRUE
"Sciurus carolinensis",2023,0.0769557587977921,0.0769557587970147,NA,NA,TRUE
"Semotilus atromaculatus",1876,4.67230453935555e-06,5.77657188073994e-06,0,NA,TRUE
"Semotilus atromaculatus",1900,2.60682914170817e-05,3.22293544674675e-05,0,NA,TRUE
"Semotilus atromaculatus",1919,2.60736076064239e-05,3.22359271019368e-05,0,NA,TRUE
"Semotilus atromaculatus",1925,2.60736076064236e-05,3.22359271019368e-05,0,NA,TRUE
"Semotilus atromaculatus",1927,2.60736076064236e-05,3.22359271019369e-05,0,NA,TRUE
"Semotilus atromaculatus",1931,3.75037960335171e-05,4.63675626799148e-05,0,NA,TRUE
"Semotilus atromaculatus",1937,5.2818179112051e-05,6.53013958487896e-05,0,NA,TRUE
"Semotilus atromaculatus",1938,0.000943958864931904,0.00116705711064222,0,NA,TRUE
"Semotilus atromaculatus",1941,0.000943958864931904,0.00116705711064222,0,NA,TRUE
"Semotilus atromaculatus",1955,0.000956885792816191,0.00118303922984951,0,NA,TRUE
"Semotilus atromaculatus",1960,0.000981612006583387,0.0012136093157593,0,NA,TRUE
"Semotilus atromaculatus",1970,0.00287745133652139,0.00355751735331871,0,NA,TRUE
"Semotilus atromaculatus",1972,0.00289607466588669,0.00358054217968248,0,NA,TRUE
"Semotilus atromaculatus",1976,0.00289633518183623,0.00358086426680158,0,NA,TRUE
"Semotilus atromaculatus",1977,0.00289633996687478,0.0035808701827514,0,NA,TRUE
"Semotilus atromaculatus",1978,0.00308265886719662,0.00381122428561084,0,NA,TRUE
"Semotilus atromaculatus",1979,0.00325234759458538,0.00402101778748043,0,NA,TRUE
"Semotilus atromaculatus",1980,0.00327445922993441,0.0040483553571783,0,NA,TRUE
"Semotilus atromaculatus",1981,0.0113572367768281,0.0140414423022563,0,NA,TRUE
"Semotilus atromaculatus",1982,0.0114332699366245,0.0141354453812902,0,NA,TRUE
"Semotilus atromaculatus",1983,0.0121949009513016,0.0150770826966287,0,NA,TRUE
"Semotilus atromaculatus",1984,0.0122746629794133,0.0151756959365963,0,NA,TRUE
"Semotilus atromaculatus",1985,0.0128164246233458,0.0158454992535769,0,NA,TRUE
"Semotilus atromaculatus",1986,0.0128176668104629,0.015847035023155,0,NA,TRUE
"Semotilus atromaculatus",1987,0.0132272469056506,0.0163534165830135,0,NA,TRUE
"Semotilus atromaculatus",1988,0.0132754328370028,0.0164129909309078,0,NA,TRUE
"Semotilus atromaculatus",1989,0.0133136846863578,0.0164602833442146,0,NA,TRUE
"Semotilus atromaculatus",1990,0.0133768277094672,0.0165383497905874,0,NA,TRUE
"Semotilus atromaculatus",1991,0.0134601280662249,0.0166413376190666,0,NA,TRUE
"Semotilus atromaculatus",1992,0.0135720012131918,0.0167796512220296,0,NA,TRUE
"Semotilus atromaculatus",1993,0.0138020025407448,0.01706401179615,0,NA,TRUE
"Semotilus atromaculatus",1994,0.0140195209434184,0.0173329391911525,0,NA,TRUE
"Semotilus atromaculatus",1995,0.0140393244800933,0.0173574231587817,0,NA,TRUE
"Semotilus atromaculatus",1996,0.0144181790010589,0.0178258173643108,0,NA,TRUE
"Semotilus atromaculatus",1997,0.0144275923457151,0.017837455488835,0,NA,TRUE
"Semotilus atromaculatus",1998,0.0145627688064781,0.018004579984787,0,NA,TRUE
"Semotilus atromaculatus",1999,0.0145807353455788,0.018026792792969,0,NA,TRUE
"Semotilus atromaculatus",2000,0.0153442274589484,0.0189707310649452,0,NA,TRUE
"Semotilus atromaculatus",2001,0.0158975111580936,0.0196547795964648,0,NA,TRUE
"Semotilus atromaculatus",2002,0.0160441107938161,0.0198346780578371,5.67132287958075e-06,NA,TRUE
"Semotilus atromaculatus",2003,0.0171096175520925,0.0211520100784855,5.67132287958078e-06,NA,TRUE
"Semotilus atromaculatus",2004,0.0187008719084962,0.0224031883139023,0.00301646960973298,NA,TRUE
"Semotilus atromaculatus",2005,0.0241306995273194,0.0290338696943069,0.00336309314430447,NA,TRUE
"Semotilus atromaculatus",2006,0.0241438168265487,0.0290500871779472,0.00336309314430447,NA,TRUE
"Semotilus atromaculatus",2007,0.038064346567655,0.031283134648947,0.0663299661163759,NA,TRUE
"Semotilus atromaculatus",2008,0.0489389672120302,0.0442528509997267,0.068376160960521,NA,TRUE
"Semotilus atromaculatus",2009,0.0515458694440258,0.0474758768114511,0.0683761609605211,NA,TRUE
"Semotilus atromaculatus",2010,0.0516087123667857,0.047552690331652,0.0683798685502819,NA,TRUE
"Semotilus atromaculatus",2011,0.0589716437001438,0.0476335564042288,0.106310251524247,NA,TRUE
"Semotilus atromaculatus",2012,0.0639574026461098,0.0527170820439773,0.110888605960549,NA,TRUE
"Semotilus atromaculatus",2013,0.0646543905767537,0.0535787983229719,0.110888605960549,NA,TRUE
"Semotilus atromaculatus",2014,0.065884346960907,0.0550413980497316,0.11113878910718,NA,TRUE
"Semotilus atromaculatus",2015,0.0661080411568982,0.0553179608446409,0.11113878910718,NA,TRUE
"Semotilus atromaculatus",2016,0.0669305386099707,0.0562466110001688,0.11150975422517,NA,TRUE
"Semotilus atromaculatus",2017,0.0685677060765939,0.0582699727215962,0.111512861558423,NA,TRUE
"Semotilus atromaculatus",2018,0.0741827324893018,0.0586443186117106,0.139124331346511,NA,TRUE
"Semotilus atromaculatus",2019,0.0761487168426288,0.0610749499707899,0.139124331346511,NA,TRUE
"Semotilus atromaculatus",2020,0.0876932326680441,0.0666374867837705,0.175743888372001,NA,TRUE
"Semotilus atromaculatus",2021,0.0878245070295925,0.0667967877134772,0.175756497438403,NA,TRUE
"Semotilus atromaculatus",2022,0.0896711009551905,0.0690798115154017,0.175756497438403,NA,TRUE
"Semotilus atromaculatus",2023,0.0940787385234268,0.0745291641835104,0.175756497438403,NA,TRUE
"Semotilus corporalis",1876,4.20502518551424e-06,6.10370186507402e-06,0,NA,TRUE
"Semotilus corporalis",1900,2.34611894470545e-05,3.40545179796178e-05,0,NA,TRUE
"Semotilus corporalis",1919,2.34611894470546e-05,3.40545179796178e-05,0,NA,TRUE
"Semotilus corporalis",1925,2.34611894470544e-05,3.40545179796178e-05,0,NA,TRUE
"Semotilus corporalis",1927,2.34611894470544e-05,3.40545179796179e-05,0,NA,TRUE
"Semotilus corporalis",1931,3.3748239404147e-05,4.89864347313924e-05,0,NA,TRUE
"Semotilus corporalis",1937,4.75310238959153e-05,6.89924997837774e-05,0,NA,TRUE
"Semotilus corporalis",1938,0.000849548314538058,0.00123314115924428,0,NA,TRUE
"Semotilus corporalis",1941,0.00105847190155543,0.00123314115924428,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1955,0.00107010600135926,0.00125002835338421,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1960,0.00109235933496747,0.0012823296376468,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1970,0.0022737913955523,0.00299720856310277,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1972,0.00229055219707104,0.00302153729622009,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1976,0.00229078665869908,0.00302187762328434,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1977,0.0022907909651837,0.00302188387425717,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1978,0.00245847602547703,0.00326528303837707,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1979,0.00261119410418045,0.00348695724499628,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1980,0.00263109434457625,0.00351584295413249,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1981,0.00814331971539289,0.0115169794021291,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1982,0.00821174876345365,0.011616305919771,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1983,0.00887956424281336,0.0125856572094934,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1984,0.0088981277214558,0.0126126025746728,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1985,0.0097141787601484,0.0137971215792253,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1986,0.00971480867161778,0.0137980359118728,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1987,0.0100834264706595,0.0143330940977931,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1988,0.0101267933045669,0.0143960421690472,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1989,0.0101612195686461,0.0144460127739776,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1990,0.0102180476285956,0.0145285001599502,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1991,0.0102834416672088,0.0146234212835676,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1992,0.0103904955236885,0.014778812700891,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1993,0.010533337734981,0.0149861518327663,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1994,0.0107291020208598,0.0152703087127177,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1995,0.0107312837487402,0.0152734755466712,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1996,0.0110780535679988,0.0157768208297985,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1997,0.0110922673036638,0.0157974524315275,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1998,0.0112138692195928,0.0159739607298739,0.000668467792773832,NA,TRUE
"Semotilus corporalis",1999,0.0112300389167473,0.0159974314598377,0.000668467792773832,NA,TRUE
"Semotilus corporalis",2000,0.0119171738281423,0.0169948254004179,0.000668467792773832,NA,TRUE
"Semotilus corporalis",2001,0.0119666093471669,0.0170665823237997,0.000668467792773832,NA,TRUE
"Semotilus corporalis",2002,0.0121799252882747,0.0173747904874954,0.000671609770794591,NA,TRUE
"Semotilus corporalis",2003,0.0190882662538345,0.0187747300541911,0.0196895316668198,NA,TRUE
"Semotilus corporalis",2004,0.0233223377855576,0.0202299655072323,0.0300339706933665,NA,TRUE
"Semotilus corporalis",2005,0.0284648057590034,0.0270737293914635,0.0314020844664948,NA,TRUE
"Semotilus corporalis",2006,0.0284738465764018,0.027086852369829,0.0314020844664948,NA,TRUE
"Semotilus corporalis",2007,0.042580147237809,0.0297885340003152,0.0706598582340141,NA,TRUE
"Semotilus corporalis",2008,0.0524692813742808,0.0434937947578883,0.0721177730729757,NA,TRUE
"Semotilus corporalis",2009,0.0547199205730369,0.0467606552570143,0.0721177730729756,NA,TRUE
