"year","new_protected_area_km2","protected_area_km2","protected_area_pct","new_protected_area_north_km2","protected_area_north_km2","protected_area_north_pct","new_protected_area_south_km2","protected_area_south_km2","protected_area_south_pct","new_protected_area_endangered_km2","protected_area_endangered_km2","protected_area_endangered_pct","new_protected_area_terrestrial_km2","protected_area_terrestrial_km2","protected_area_terrestrial_pct"
1983,350.93946518380295,5477.49214903225,0.0032587988135811805,350.93946518380295,392.8717023046559,0.0003127784040652981,350.93946518380295,5084.611368011958,0.011970476728938577,350.93946518380295,5477.405286534443,0.004346194286824638,"","",""
1984,144.4920193555518,5621.984168387802,0.0033447634135178525,144.4920193555518,489.40936231929044,0.00038963528903422574,47.95435934091737,5132.565727352875,0.012083373566276619,144.4920193555518,5621.897305889995,0.0044608453590318925,"","",""
1985,375.969885830083,5997.954054217885,0.0035684442850827335,375.969885830083,489.40936231929044,0.00038963528903422574,375.969885830083,5508.535613182958,0.012968502919018158,375.969885830083,5997.867191720077,0.004759168759315948,"","",""
1986,14.471219216596744,6012.425273434482,0.003577053844116506,14.471219216596744,489.40936231929044,0.00038963528903422574,14.471219216596744,5523.006832399555,0.013002571873424672,14.471219216596744,6012.338410936674,0.004770651336739455,"","",""
1987,166.96249978197775,6179.387773216459,0.003676387112225012,166.96249978197775,489.40936231929044,0.00038963528903422574,166.96249978197775,5689.969332181532,0.013395644337294614,166.96249978197775,6179.300910718652,0.004903132214948398,"","",""
1988,26.194301785914515,6205.582075002374,0.0036919712440247458,26.194301785914515,489.40936231929044,0.00038963528903422574,26.194301785914515,5716.163633967447,0.01345731242896662,26.194301785914515,6205.495212504567,0.004923916786988225,"","",""
1989,16.422214156766366,6222.00428915914,0.003701741534981694,16.422214156766366,489.40936231929044,0.00038963528903422574,16.422214156766366,5732.585848124213,0.013495974524881745,16.422214156766366,6221.917426661333,0.004936947433729048,"","",""
1990,25.73981771856339,6247.744106877703,0.0037170552744012694,25.73981771856339,489.40936231929044,0.00038963528903422574,25.73981771856339,5758.325665842776,0.013556572644719498,25.73981771856339,6247.657244379896,0.004957371383183244,"","",""
1991,264.7646475642039,6512.5087544419075,0.003874575302889655,264.7646475642039,720.2171941595225,0.0005733891834106086,33.95681572397197,5792.282481566748,0.013636515681265,33.95681572397197,6281.614060103868,0.004984315330322065,"","",""
1992,48.489192511321896,6560.997946953229,0.0039034236368950853,48.489192511321896,720.2171941595225,0.0005733891834106086,48.489192511321896,5840.77167407807,0.013750671652793802,48.489192511321896,6330.103252615189,0.0050227903820009205,"","",""
