"";"SPECIES";"SPI";"YEAR";"SELECTED_PROTECTED_AREA_TYPE";"UNION";"LOC"
"108";"Aplodinotus grunniens";0,0962983455639879;2023;NA;TRUE;"South"
"109";"Lepomis peltastes";0,0964843606705724;2023;NA;TRUE;"South"
"110";"Nerodia sipedon";0,0968308728678565;2023;NA;TRUE;"South"
"111";"Oncorhynchus tshawytscha";0,0983292596475987;2023;NA;TRUE;"South"
"112";"Cottus ricei";0,0994350240860187;2023;NA;TRUE;"South"
"113";"Moxostoma hubbsi";0,100780970260473;2023;NA;TRUE;"South"
"114";"Neotamias minimus";0,101476683599719;2023;NA;TRUE;"South"
"115";"Sorex gaspensis";0,102223491273354;2023;NA;TRUE;"South"
"116";"Anguilla rostrata";0,102408004050296;2023;NA;TRUE;"South"
"117";"Osmerus mordax";0,10490977641778;2023;NA;TRUE;"South"
"118";"Lepisosteus osseus";0,106512971375573;2023;NA;TRUE;"South"
"119";"Pseudacris triseriata";0,109135189720332;2023;NA;TRUE;"South"
"120";"Petromyzon marinus";0,10999167294982;2023;NA;TRUE;"South"
"121";"Gulo gulo";0,110330492571292;2023;NA;TRUE;"North"
"122";"Esox americanus vermiculatus";0,113410067478038;2023;NA;TRUE;"South"
"123";"Ictalurus punctatus";0,113789880530591;2023;NA;TRUE;"South"
"124";"Percopsis omiscomaycus";0,116109919547086;2023;NA;TRUE;"South"
"125";"Thamnophis sirtalis";0,117662198362718;2023;NA;TRUE;"South"
"126";"Martes pennanti";0,118011037103811;2023;NA;TRUE;"South"
"127";"Alosa pseudoharengus";0,118672791642687;2023;NA;TRUE;"South"
"128";"Microgadus tomcod";0,119819568429749;2023;NA;TRUE;"South"
"129";"Alosa sapidissima";0,120110636520641;2023;NA;TRUE;"South"
"130";"Sorex fumeus";0,120208675790501;2023;NA;TRUE;"South"
"131";"Hybognathus hankinsoni";0,122009758964383;2023;NA;TRUE;"South"
"132";"Lithobates pipiens";0,122114954519248;2023;NA;TRUE;"South"
"133";"Eptesicus fuscus";0,122880860760361;2023;NA;TRUE;"South"
"134";"Acipenser oxyrinchus";0,123052154949205;2023;NA;TRUE;"South"
"135";"Semotilus corporalis";0,123421626828703;2023;NA;TRUE;"South"
"136";"Ameiurus natalis";0,123813482774036;2023;NA;TRUE;"South"
"137";"Tinca tinca";0,124249085624006;2023;NA;TRUE;"South"
"138";"Oncorhynchus kisutch";0,124484509341963;2023;NA;TRUE;"South"
"139";"Oncorhynchus mykiss";0,124493665544741;2023;NA;TRUE;"South"
"140";"Culaea inconstans";0,124647431291237;2023;NA;TRUE;"South"
"141";"Napaeozapus insignis";0,126823890496489;2023;NA;TRUE;"South"
"142";"Pseudacris crucifer";0,127685701967505;2023;NA;TRUE;"South"
"143";"Perca flavescens";0,128424425716627;2023;NA;TRUE;"South"
"144";"Margariscus margarita";0,128684625407193;2023;NA;TRUE;"South"
"145";"Myotis septentrionalis";0,131431543107483;2023;NA;TRUE;"South"
"146";"Sander canadensis";0,133848639872315;2023;NA;TRUE;"South"
"147";"Eurycea bislineata";0,134015090037224;2023;NA;TRUE;"South"
"148";"Lasiurus borealis";0,135011588453314;2023;NA;TRUE;"South"
"149";"Notropis atherinoides";0,137216822026262;2023;NA;TRUE;"South"
"150";"Microtus chrotorrhinus";0,13736393357108;2023;NA;TRUE;"South"
"151";"Notropis hudsonius";0,137413550767129;2023;NA;TRUE;"South"
"152";"Lithobates septentrionalis";0,138059171635228;2023;NA;TRUE;"North"
"153";"Myotis lucifugus";0,138992935587378;2023;NA;TRUE;"North"
